dQP,PRED_MODE,PU_SIZE,BITS,DISTORTION,BEST_COST,BEST_BINS,SIDE_INFO,SAD,MSE,COST_2Nx2N,COST_MSM,COST_2NxN,COST_Nx2N,RATIO_2Nx2N-MSM,REL_RATIO_2Nx2N-MSM,RATIO_BEST_2Nx2N,RATIO_BEST-MSM,REL_RATIO_BEST-MSM,TU_DEPTH,CBF,NON-Z-COEFF,REF_IDX,MV_MOD_INT,MV_MOD_FRAC,PREDMV_MOD_INT,PREDMV_MOD_FRAC,MVD_MOD_INT,MVD_MOD_FRAC,MVP_IDX,INTER_DIR,FME,COLOC_SPLIT,UP_SPLIT,LEFT_SPLIT,UPLEFT_SPLIT,UPRIGHT_SPLIT,CTX_SPLIT,COLOC_DEPTH,UP_DEPTH,LEFT_DEPTH,UPLEFT_DEPTH,UPRIGHT_DEPTH,CTX_DEPTH,AVG_NEIGH_DEPTH,SPLIT
4,2,6,21,27981,31627.3,1,0.11529,8680,7.27295,36791.1,34642.7,31702.3,32955.6,1.06202,0.062018,0.859645,0.912959,0.087041,1,1,1,1,19,0.790569,19,0.790569,0,0,-1,1,2,1,0,1,1,0,3,0.5,0,1,1,0,0.416667,0.589744,1
1,3,0,186,31482,34796.6,200,0.095256,16834,25.7603,37368.2,37416.3,38483.3,37734,0.998716,0.001284,0.93118,0.929985,0.070015,1,1,1,-1,0,0,0,0,0,0,-1,0,0,1,1,0,0,1,3,1,1,0,0,1,0.6,1.60746,1
2,1,6,12,29480,30090.7,1,0.020295,7861,6.47974,31203.6,31529.5,31732,31100.9,0.989666,0.010334,0.964333,0.954368,0.045632,0,0,10,1,125.016,0.75,125.016,0.75,0,0,-1,3,2,2,1,0,1,1,5,2,1,0,2,1,1,1.0547,1
2,2,0,91,55658,60289.1,1,0.076816,11224,12.6689,60187.4,62919.3,62015.2,61268.2,0.956581,0.043419,1.00169,0.958199,0.041801,1,1,32,-1,0,0,0,0,0,0,-1,2,0,1,1,1,1,1,5,0.5,1,1,1,1,0.75,1.10661,1
3,2,6,660,61873,106681,1,0.42002,11506,13.6343,108089,136940,106901,109110,0.789317,0.210683,0.986974,0.779035,0.220965,1,1,26,0,34.1321,0.353553,49.4065,0.75,23.0217,0.901388,0,3,2,2,0,1,1,0,4,1,0,2,1,0,0.666667,1.43222,1
2,2,1,735,65233,102638,1,0.364438,11650,14.3169,114338,111846,102587,120051,1.02228,0.022283,0.897671,0.917674,0.082326,1,1,7,-1,0,0,0,0,0,0,-1,2,0,2,1,0,1,1,5,1,2,0,1,2,1,1.16667,1
3,1,6,33,43399,45639.4,1,0.049089,9307,9.35571,45979.9,45575.5,46807.3,45982.8,1.00887,0.008875,0.992594,1.0014,0.001403,0,0,20,0,33.0151,0.790569,33.0151,0.559017,0,0.25,1,3,2,1,0,1,1,0,3,1,0,2,1,0,0.666667,0.97381,1
3,2,6,935,110563,174041,1,0.364731,14536,22.752,184176,208834,185904,174789,0.881922,0.118078,0.944975,0.833394,0.166606,2,1,8,0,19.0263,0.353553,6,0.901388,12,0.901388,1,3,2,2,1,1,1,1,6,2.5,2,2,2,2,1.75,1.70433,1
2,3,0,564,105374,134077,737,0.214078,25352,66.9595,152966,153963,143708,151140,0.993525,0.006475,0.876514,0.870838,0.129162,2,1,1,-1,0,0,0,0,0,0,-1,0,0,2,1,0,0,1,4,1,1,0,0,1,0.5,1.36899,1
1,2,4,480,28762,37315.8,1,0.229226,8293,6.76929,37278.5,43330.7,37913.7,37534,0.860326,0.139674,1.001,0.861185,0.138815,1,1,1,1,53.7587,0.790569,347.117,0.5,293.002,1.06066,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1.41921,1
